glyph_name,ps_name,sort_final,USV
.notdef,.notdef,0,
.null,.null,1,
nonmarkingreturn,nonmarkingreturn,2,
space,space,3,0020
exclam,exclam,4,0021
quotedbl,quotedbl,5,0022
numbersign,numbersign,6,0023
dollar,dollar,7,0024
percent,percent,8,0025
ampersand,ampersand,9,0026
quotesingle,quotesingle,10,0027
parenleft,parenleft,11,0028
parenright,parenright,12,0029
asterisk,asterisk,13,002A
plus,plus,14,002B
comma,comma,15,002C
hyphen,hyphen,16,002D
period,period,17,002E
slash,slash,18,002F
zero,zero,19,0030
one,one,20,0031
two,two,21,0032
three,three,22,0033
four,four,23,0034
five,five,24,0035
six,six,25,0036
seven,seven,26,0037
eight,eight,27,0038
nine,nine,28,0039
colon,colon,29,003A
semicolon,semicolon,30,003B
less,less,31,003C
equal,equal,32,003D
greater,greater,33,003E
question,question,34,003F
at,at,35,0040
A,A,36,0041
B,B,37,0042
C,C,38,0043
D,D,39,0044
E,E,40,0045
F,F,41,0046
G,G,42,0047
H,H,43,0048
I,I,44,0049
J,J,45,004A
K,K,46,004B
L,L,47,004C
M,M,48,004D
N,N,49,004E
O,O,50,004F
P,P,51,0050
Q,Q,52,0051
R,R,53,0052
S,S,54,0053
T,T,55,0054
U,U,56,0055
V,V,57,0056
W,W,58,0057
X,X,59,0058
Y,Y,60,0059
Z,Z,61,005A
bracketleft,bracketleft,62,005B
backslash,backslash,63,005C
bracketright,bracketright,64,005D
asciicircum,asciicircum,65,005E
underscore,underscore,66,005F
grave,grave,67,0060
a,a,68,0061
b,b,69,0062
c,c,70,0063
d,d,71,0064
e,e,72,0065
f,f,73,0066
g,g,74,0067
h,h,75,0068
i,i,76,0069
j,j,77,006A
k,k,78,006B
l,l,79,006C
m,m,80,006D
n,n,81,006E
o,o,82,006F
p,p,83,0070
q,q,84,0071
r,r,85,0072
s,s,86,0073
t,t,87,0074
u,u,88,0075
v,v,89,0076
w,w,90,0077
x,x,91,0078
y,y,92,0079
z,z,93,007A
braceleft,braceleft,94,007B
bar,bar,95,007C
braceright,braceright,96,007D
asciitilde,asciitilde,97,007E
nbspace,uni00A0,98,00A0
exclamdown,exclamdown,99,00A1
cent,cent,100,00A2
sterling,sterling,101,00A3
currency,currency,102,00A4
yen,yen,103,00A5
brokenbar,brokenbar,104,00A6
section,section,105,00A7
dieresis,dieresis,106,00A8
copyright,copyright,107,00A9
ordfeminine,ordfeminine,108,00AA
guillemotleft,guillemotleft,109,00AB
logicalnot,logicalnot,110,00AC
sfthyphen,uni00AD,111,00AD
registered,registered,112,00AE
macron,macron,113,00AF
degree,degree,114,00B0
plusminus,plusminus,115,00B1
twosuperior,uni00B2,116,00B2
threesuperior,uni00B3,117,00B3
acute,acute,118,00B4
mu,mu,119,00B5
paragraph,paragraph,120,00B6
periodcentered,periodcentered,121,00B7
cedilla,cedilla,122,00B8
onesuperior,uni00B9,123,00B9
ordmasculine,ordmasculine,124,00BA
guillemotright,guillemotright,125,00BB
onequarter,onequarter,126,00BC
onehalf,onehalf,127,00BD
threequarters,threequarters,128,00BE
questiondown,questiondown,129,00BF
Agrave,Agrave,130,00C0
Aacute,Aacute,131,00C1
Acircumflex,Acircumflex,132,00C2
Atilde,Atilde,133,00C3
Adieresis,Adieresis,134,00C4
Aring,Aring,135,00C5
AE,AE,136,00C6
Ccedilla,Ccedilla,137,00C7
Egrave,Egrave,138,00C8
Eacute,Eacute,139,00C9
Ecircumflex,Ecircumflex,140,00CA
Edieresis,Edieresis,141,00CB
Igrave,Igrave,142,00CC
Iacute,Iacute,143,00CD
Icircumflex,Icircumflex,144,00CE
Idieresis,Idieresis,145,00CF
Eth,Eth,146,00D0
Ntilde,Ntilde,147,00D1
Ograve,Ograve,148,00D2
Oacute,Oacute,149,00D3
Ocircumflex,Ocircumflex,150,00D4
Otilde,Otilde,151,00D5
Odieresis,Odieresis,152,00D6
multiply,multiply,153,00D7
Oslash,Oslash,154,00D8
Ugrave,Ugrave,155,00D9
Uacute,Uacute,156,00DA
Ucircumflex,Ucircumflex,157,00DB
Udieresis,Udieresis,158,00DC
Yacute,Yacute,159,00DD
Thorn,Thorn,160,00DE
germandbls,germandbls,161,00DF
agrave,agrave,162,00E0
aacute,aacute,163,00E1
acircumflex,acircumflex,164,00E2
atilde,atilde,165,00E3
adieresis,adieresis,166,00E4
aring,aring,167,00E5
ae,ae,168,00E6
ccedilla,ccedilla,169,00E7
egrave,egrave,170,00E8
eacute,eacute,171,00E9
ecircumflex,ecircumflex,172,00EA
edieresis,edieresis,173,00EB
igrave,igrave,174,00EC
iacute,iacute,175,00ED
icircumflex,icircumflex,176,00EE
idieresis,idieresis,177,00EF
eth,eth,178,00F0
ntilde,ntilde,179,00F1
ograve,ograve,180,00F2
oacute,oacute,181,00F3
ocircumflex,ocircumflex,182,00F4
otilde,otilde,183,00F5
odieresis,odieresis,184,00F6
divide,divide,185,00F7
oslash,oslash,186,00F8
ugrave,ugrave,187,00F9
uacute,uacute,188,00FA
ucircumflex,ucircumflex,189,00FB
udieresis,udieresis,190,00FC
yacute,yacute,191,00FD
thorn,thorn,192,00FE
ydieresis,ydieresis,193,00FF
dotlessi,dotlessi,194,0131
OE,OE,195,0152
oe,oe,196,0153
Scaron,Scaron,197,0160
scaron,scaron,198,0161
Ydieresis,Ydieresis,199,0178
Zcaron,Zcaron,200,017D
zcaron,zcaron,201,017E
florin,florin,202,0192
circumflex,circumflex,203,02C6
caron,caron,204,02C7
breve,breve,205,02D8
dotaccent,dotaccent,206,02D9
ring,ring,207,02DA
ogonek,ogonek,208,02DB
tilde,tilde,209,02DC
hungarumlaut,hungarumlaut,210,02DD
cgj,uni034F,211,034F
pi,pi,212,03C0
uni1980,uni1980,213,1980
uni1981,uni1981,214,1981
uni1982,uni1982,215,1982
uni1983,uni1983,216,1983
uni1984,uni1984,217,1984
uni1985,uni1985,218,1985
uni1986,uni1986,219,1986
uni1987,uni1987,220,1987
uni1988,uni1988,221,1988
uni1989,uni1989,222,1989
uni198A,uni198A,223,198A
uni198B,uni198B,224,198B
uni198C,uni198C,225,198C
uni198D,uni198D,226,198D
uni198E,uni198E,227,198E
uni198F,uni198F,228,198F
uni1990,uni1990,229,1990
uni1991,uni1991,230,1991
uni1992,uni1992,231,1992
uni1993,uni1993,232,1993
uni1994,uni1994,233,1994
uni1995,uni1995,234,1995
uni1996,uni1996,235,1996
uni1997,uni1997,236,1997
uni1998,uni1998,237,1998
uni1999,uni1999,238,1999
uni199A,uni199A,239,199A
uni199B,uni199B,240,199B
uni199C,uni199C,241,199C
uni199D,uni199D,242,199D
uni199E,uni199E,243,199E
uni199F,uni199F,244,199F
uni19A0,uni19A0,245,19A0
uni19A1,uni19A1,246,19A1
uni19A2,uni19A2,247,19A2
uni19A3,uni19A3,248,19A3
uni19A4,uni19A4,249,19A4
uni19A5,uni19A5,250,19A5
uni19A6,uni19A6,251,19A6
uni19A7,uni19A7,252,19A7
uni19A8,uni19A8,253,19A8
uni19A9,uni19A9,254,19A9
uni19AA,uni19AA,255,19AA
uni19AB,uni19AB,256,19AB
uni19B0,uni19B0,257,19B0
uni19B1,uni19B1,258,19B1
uni19B2,uni19B2,259,19B2
uni19B3,uni19B3,260,19B3
uni19B4,uni19B4,261,19B4
uni19B5,uni19B5,262,19B5
uni19B6,uni19B6,263,19B6
uni19B7,uni19B7,264,19B7
uni19B8,uni19B8,265,19B8
uni19B9,uni19B9,266,19B9
uni19BA,uni19BA,267,19BA
uni19BB,uni19BB,268,19BB
uni19BC,uni19BC,269,19BC
uni19BD,uni19BD,270,19BD
uni19BE,uni19BE,271,19BE
uni19BF,uni19BF,272,19BF
uni19C0,uni19C0,273,19C0
uni19C1,uni19C1,274,19C1
uni19C2,uni19C2,275,19C2
uni19C3,uni19C3,276,19C3
uni19C4,uni19C4,277,19C4
uni19C5,uni19C5,278,19C5
uni19C6,uni19C6,279,19C6
uni19C7,uni19C7,280,19C7
uni19C8,uni19C8,281,19C8
uni19C9,uni19C9,282,19C9
uni19D0,uni19D0,283,19D0
uni19D1,uni19D1,284,19D1
uni19D2,uni19D2,285,19D2
uni19D3,uni19D3,286,19D3
uni19D4,uni19D4,287,19D4
uni19D5,uni19D5,288,19D5
uni19D6,uni19D6,289,19D6
uni19D7,uni19D7,290,19D7
uni19D8,uni19D8,291,19D8
uni19D9,uni19D9,292,19D9
uni19DA,uni19DA,293,19DA
uni19DE,uni19DE,294,19DE
uni19DF,uni19DF,295,19DF
EnQuad,uni2000,296,2000
EmQuad,uni2001,297,2001
EnSpace,uni2002,298,2002
EmSpace,uni2003,299,2003
ThreePerEmSpace,uni2004,300,2004
FourPerEmSpace,uni2005,301,2005
SixPerEmSpace,uni2006,302,2006
FigureSpace,uni2007,303,2007
PuncSpace,uni2008,304,2008
thinspace,uni2009,305,2009
HairSpace,uni200A,306,200A
zerowidthspace,uni200B,307,200B
zwnj,uni200C,308,200C
zwj,uni200D,309,200D
hyphentwo,uni2010,310,2010
nbhyphen,uni2011,311,2011
figuredash,figuredash,312,2012
endash,endash,313,2013
emdash,emdash,314,2014
horizontalbar,uni2015,315,2015
quoteleft,quoteleft,316,2018
quoteright,quoteright,317,2019
quotesinglbase,quotesinglbase,318,201A
quotedblleft,quotedblleft,319,201C
quotedblright,quotedblright,320,201D
quotedblbase,quotedblbase,321,201E
dagger,dagger,322,2020
daggerdbl,daggerdbl,323,2021
bullet,bullet,324,2022
ellipsis,ellipsis,325,2026
HyphenationPt,uni2027,326,2027
LineSep,uni2028,327,2028
ParagraphSeparator,uni2029,328,2029
nnbsp,uni202F,329,202F
perthousand,perthousand,330,2030
guilsinglleft,guilsinglleft,331,2039
guilsinglright,guilsinglright,332,203A
fraction,fraction,333,2044
uni2060,uni2060,334,2060
foursuperior,uni2074,335,2074
Euro,Euro,336,20AC
trademark,trademark,337,2122
Ohm,uni2126,338,2126
partialdiff,partialdiff,339,2202
Delta,Delta,340,2206
product,product,341,220F
summation,summation,342,2211
minus,minus,343,2212
divisionslash,uni2215,344,2215
bulletoperator,uni2219,345,2219
radical,radical,346,221A
infinity,infinity,347,221E
integral,integral,348,222B
approxequal,approxequal,349,2248
notequal,notequal,350,2260
lessequal,lessequal,351,2264
greaterequal,greaterequal,352,2265
openbox,uni2423,353,2423
lozenge,lozenge,354,25CA
uni25CC,uni25CC,355,25CC
uni3000,uni3000,356,3000
uni3001,uni3001,357,3001
uni3002,uni3002,358,3002
uni3008,uni3008,359,3008
uni3009,uni3009,360,3009
uni300A,uni300A,361,300A
uni300B,uni300B,362,300B
fi,uniFB01,363,FB01
fl,uniFB02,364,FB02
VS1,uniFE00,365,FE00
VS2,uniFE01,366,FE01
VS3,uniFE02,367,FE02
VS4,uniFE03,368,FE03
VS5,uniFE04,369,FE04
VS6,uniFE05,370,FE05
VS7,uniFE06,371,FE06
VS8,uniFE07,372,FE07
VS9,uniFE08,373,FE08
VS10,uniFE09,374,FE09
VS11,uniFE0A,375,FE0A
VS12,uniFE0B,376,FE0B
VS13,uniFE0C,377,FE0C
VS14,uniFE0D,378,FE0D
VS15,uniFE0E,379,FE0E
VS16,uniFE0F,380,FE0F
zwnbsp,uniFEFF,381,FEFF
uniFF01,uniFF01,382,FF01
uniFF08,uniFF08,383,FF08
uniFF09,uniFF09,384,FF09
uniFF0C,uniFF0C,385,FF0C
uniFF0E,uniFF0E,386,FF0E
uniFF1A,uniFF1A,387,FF1A
uniFF1B,uniFF1B,388,FF1B
uniFF1F,uniFF1F,389,FF1F
ObjectReplChar,uniFFFC,390,FFFC
ReplChar,uniFFFD,391,FFFD
CombAcute,CombAcute,392,
CombAcute.LP,CombAcute.LP,393,
CombCaron,CombCaron,394,
CombCaron.LP,CombCaron.LP,395,
CombCedilla,CombCedilla,396,
CombCircum,CombCircum,397,
CombCircum.LP,CombCircum.LP,398,
CombDiaer,CombDiaer,399,
CombDiaer.LP,CombDiaer.LP,400,
CombGrave,CombGrave,401,
CombGrave.LP,CombGrave.LP,402,
CombRingAbv,CombRingAbv,403,
CombTilde,CombTilde,404,
CombTilde.LP,CombTilde.LP,405,
GrCapOmega,GrCapOmega,406,
GrCapPi,GrCapPi,407,
HyphenMinus,HyphenMinus,408,
LtnCapEsh,LtnCapEsh,409,
MiddleDot,MiddleDot,410,
dailuemodifierfinal,dailuemodifierfinal,411,
dailuemodifierw,dailuemodifierw,412,
